(18�20% fat),,"1 cup evaporated milk, undiluted"
(for thickening),,2 Tbsp granular tapioca
Allspice,1 teaspoon,1/2 teaspoon cinnamon and 1/2 teaspoon ground cloves
Allspice,1 teaspoon,1/2 teaspoon cinnamon plus 1/8 teaspoon ground cloves
Allspice,1 teaspoon,"1/2 teaspoon cinnamon, 1/4 teaspoon ginger, and 1/4 teaspoon cloves"
Allspice,1 tsp.,1/2 tsp. cinnamon and 1/2 tsp. ground cloves
Allspice,1 tsp,1?2 tsp cinnamon and 1?2 tsp ground cloves
Almond paste,1 1/3 cups,1 3/4 cups ground blanched almonds plus 1 1/2 cups powdered sugar plus 1 egg white plus 1 teaspoon almond extract plus 1/4 teaspoon salt
Anchovies,1 fillet,1/2 teaspoon anchovy paste
Anise Extract,1 teaspoon,1 1/2 teaspoon ground anise seed
Anise Seed,1 teaspoon,1 teaspoon star anise
Apple pie spice,1 teaspoon,"1/2 teaspoon cinnamon, 1/4 teaspoon nutmeg, 1/8 teaspoon ground allspice, and either 1/8 teaspoon ground cardamom, ginger or cloves"
Apple pie spice,1 tsp.,"1/2 tsp. cinnamon, 1/4 tsp. nutmeg, and 1/8 tsp. cardamom"
Apple pie spice,1 tsp,"1?2 tsp cinnamon, 1?4 tsp nutmeg, and 1?8 tsp cardamom"
Arrowroot,1 1/2 tsp.,1 1/2 tsp. cornstarch
Arrowroot,1 1/2 tsp.,1 tbsp. flour
Arrowroot starch,1 tablespoon,1 tablespoon cornstarch
Arrowroot starch,1 teaspoon,1 tablespoon flour�OR�1 teaspoon cornstarch
Arrowroot starch,1 1?2 tsp,1 Tbsp flour
"Arrowroot, as thickener",1 teaspoon,1 tablespoon flour; or 1 teaspoon cornstarch
Baking dish and pan sizes,,see�Baking Dish and Pan Sizes�- How to substitute different pans sizes
Baking mix,1 cup,1 cup pancake mix
Baking powder,1 tsp.,1/3 tsp. baking soda and 1/2 tsp. cream of tartar
Baking powder,1 teaspoon,1/4 teaspoon baking soda plus 1/2 teaspoon cream of tartar�OR�1/4 teaspoon baking soda plus 1/2 cup buttermilk (decrease liquid in recipe by 1/2 cup)
Baking powder,1 teaspoon,1/4 teaspoon baking soda plus 1/4 teaspoon cornstarch plus 1/2 teaspoon cream of tartar
