1,Balsamic Vinaigrette,susiecooks,NA,10M,10M,2006-05-11,Make and share this Balsamic Vinaigrette recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/08/picPlwGiD.jpg""}","{""1/4"", ""1/4"", ""1"", ""1"", ""1/4"", ""1"", ""1/2"", NA, ""1""}","{""shallot"", ""thyme"", ""garlic clove"", ""salt"", ""pomegranate molasses"", ""extra virgin olive oil"", ""fresh ground pepper"", ""sugar""}",5,1,0,"{""Combine all ingredients except oil, pepper and sugar."", ""Whisk in olive oil."", ""Taste for salt and pepper."", ""Add sugar if needed.""}"
2,Perfect Teriyaki Marinade,Bayhill,NA,10M,10M,2006-05-11,"This is a great marinade for steaks and chicken. If possible, it is best to leave meat in the marinade for at least 24 hours.   Prep time does not include marinading time.","{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/picg9f0qY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/picMrUS4t.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/pickp5JY0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/picUUa0oK.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/pic25cNRa.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/09/picF4Sjay.jpg""}","{""1"", ""1/2"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1""}","{""soy sauce"", ""lemon juice"", ""fresh ginger"", ""garlic cloves"", ""brown sugar"", ""red wine"", ""green onion""}",5,17,0,"{""Mix all ingredients together.  Pour over meat in a container or large Zip-loc bag, turning occasionally.""}"
3,Mandarin Chicken Salad,ChrisReynolds,10M,15M,25M,2006-05-11,Make and share this Mandarin Chicken Salad recipe from Food.com.,{NA},"{""3"", ""2"", ""2"", ""1"", ""1"", ""3/4 - 1"", ""1""}","{""frozen sugar snap peas"", ""mandarin oranges""}",5,1,6,"{""Prepare tortellini and sugar snap peas according to package directions.  Rinse under cold water to cool; drain well."", ""In a large bowl, combine all ingredients except chow mein noodles and stir well."", ""Top with chow mein noodles."", ""NOTE:  If bottle honey mustard dressing is unavailable, substitute 1 C ranch dressing mixed with 1/4 C honey and 2 tbsp Dijon mustard.""}"
4,Crusty French Bread With Cheese,BabyChevelle,3M,10M,13M,2006-05-11,"This is simple but so yummy, you can't believe how good it is. It is the bread that sets it apart from anything similar. I have been making this for years and my husband and I can almost eat a whole loaf by ourselves. You must buy the French Baguette, the kind that will not keep, it must be used the day you buy it. Here in Missouri, I find it at Dierbergs Grocery.",{NA},"{""1"", ""1/2"", ""9""}","{""French baguette"", ""butter"", ""margarine"", ""American cheese""}",0,0,0,"{""Slice baguette into 36 slices."", ""Butter each slice."", ""Break cheese in half and then in half again for 4 pieces for each slice."", ""Place cheese on top of buttered bread."", ""Put slices of bread on a cookie sheet."", ""Turn oven to broil."", ""Broil for 3 to 5 minute watch very closely, or they will burn.""}"
5,Frozen Almond-Cream Desserts,ChrisReynolds,NA,30M,30M,2006-05-11,I found this recipe in Light &amp; Tasty Taste of Home.  Preparation time does not include freezing.,{NA},"{""3/4"", ""1"", ""1"", ""1/4"", ""12"", ""1/3"", ""3/4"", ""1/4"", ""3"", ""2"", ""1/8""}","{""butter"", ""unflavored gelatin"", ""cold water"", ""reduced-fat cream cheese"", ""sugar"", ""nonfat milk"", ""sugar"", ""salt""}",0,0,12,"{""In a small bowl, combine almonds and butter.  Press into the bottom of 12 paper or foil lined muffin cups.  Cover and freeze for 10 minutes."", ""Meanwhile, in a small saucepan, sprinkle gelatin over the water; let stand for 1 minute.  Cook over low heat, stirring until gelatin is dissolved completely; set aside."", ""In a small mixing bowl, beat the cream cheese and sugar until smooth.  Gradually beat in the milk and almond extract.  Stir in the gelatin mixture."", ""Spoon into the muffin cups on top of the almond crust; freeze until firm."", 
""10 minutes before serving, remove from freezer."", ""Place sauce ingredients in the blender or food processor; cover and process until pureed.  Spoon onto dessert plates.  Peel liners off desserts; invert onto peach sauce.""}"
6,Vegan Fruit Muffins,kates_127,45M,10M,55M,2006-05-11,"This recipe is from How It All Vegan with a few of my own variations added to it.  You can put any fruit you like in them, fresh or frozen works.",{NA},"{""2"", ""1/2"", ""3"", ""1/2"", ""6"", ""1/4"", ""3/4"", ""1 1/2"", ""1 -2""}","{""wheat flour"", ""salt"", ""baking powder"", ""artificial sweetener"", ""applesauce"", ""soymilk"", ""ground flax seeds""}",0,0,6,"{""Preheat oven to 350�F."", ""Stir together  flour, salt, baking powder and flax."", ""Add sweetener, egg replacer, oil, sour milk and fruit. stir until \""just right\""."", ""Scoop into lightly greased/oiled muffin tins"", ""Bake for 35-45 mintuse."", ""Makes 6+ muffins.""}"
7,Cranoccoli Salad,CharlotteJ,NA,10M,10M,2006-05-11,Make and share this Cranoccoli Salad recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/14/picCBDltM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/14/picy2NEFK.jpg""}","{""1"", ""1/2"", ""1"", ""1/2"", ""1/2"", ""1"", ""1"", ""1"", ""1/2"", ""1""}","{""broccoli"", ""sunflower seeds"", ""dried sweetened cranberries"", ""raisins"", ""celery"", ""red onion"", ""bacon"", ""mayonnaise"", ""sugar"", ""cider vinegar""}",5,4,8,"{""In a large bowl, mix the broccoli, sunflower seeds, sweetened dried cranberries, raisins, celery, red onion and bacon."", ""In a small bowl or dressing shaker, mix the mayonnaise, sugar and vinegar."", ""Pour dressing over salad, mix and refrigerate at least 1 hour prior to serving.""}"
8,Cranberry Cashew Salad,CharlotteJ,NA,10M,10M,2006-05-11,Make and share this Cranberry Cashew Salad recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/15/picTtRYYM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/15/piciwxKFp.jpg""}","{""1"", ""1"", ""1"", ""1/4"", ""1"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""2/3"", ""1"", ""1""}","{""head romaine lettuce"", ""parmesan cheese"", ""cashews"", ""dried sweetened cranberries"", ""red apple"", ""pear"", ""sugar"", ""salt"", ""lemon juice"", ""olive oil"", ""poppy seed"", ""Dijon mustard""}",5,3,0,"{""In large bowl, combine salad ingredients and toss to mix."", ""In a covered container, combine all dressing ingredients."", ""Shake vigorously until well mixed."", ""Wait until ready to serve to add dressing to salad."", ""Pour over salad and toss to coat evenly.""}"
9,Caramel Pecan Pie,CharlotteJ,55M,15M,1H10M,2006-05-11,Make and share this Caramel Pecan Pie recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/16/piced9ZVh.jpg""}","{""1"", ""36"", ""1/4"", ""1/4"", ""3/4"", ""3"", ""1/2"", ""1/4"", ""1""}","{""butter"", ""milk"", ""white sugar"", ""eggs"", ""vanilla extract"", ""salt"", ""pecan halves""}",5,2,0,"{""Preheat oven to 350 degrees."", ""In a saucepan over low heat, combine caramels, butter and milk."", ""Cook, stirring frequently, until smooth."", ""Remove from heat and set aside."", ""In a large bowl, combine sugar, eggs, vanilla and salt."", ""Gradually mix in the melted caramel mixture. Stir in pecans."", ""Pour filling into unbaked pie crust."", ""Bake in the preheated oven for 45 to 50 minutes, or until pastry is golden brown."", ""Allow pie to cool until filling is firm.""}"
10,Homemade Cranberry Juice,CharlotteJ,8M,1M,9M,2006-05-11,"I'm a cranberry nut. I just can't get enough of these berries.  Here are some fun facts I found on the web.    Cranberries are one of the only three native North American Fruits (Concord grapes, and blueberries being the others). To the eastern Indians, cranberries were known as sassamanesh. The Cape Cod Pequots and the South Jersey Leni- Lenape tribes called the little red berry ibimi or bitter berry. But it was the Pilgrims who gave the cranberry its modern name. To them, the pink cranberry blossoms resembled the heads of cranes; therefore the word crane berry later contracted to cranberry. Early American sailors carried barrels of cranberries while at sea as a source of vitamin C, much like the British limeys carried limes aboard ships.","{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/17/picyzloU8.jpg""}","{""1"", ""1"", NA}","{""fresh cranberries"", ""frozen cranberries"", ""water"", ""sugar""}",5,17,0,"{""Wash and drain fresh or frozen red-ripe cranberries."", ""Combine cranberries and water in a large pan."", ""Bring to a boil."", ""Reduce heat and cook until berries burst."", ""Strain juice through a fine strainer lined with cheese cloth."", ""Sugar can be added to juice to your taste."", ""Reheat juice until it is almost, but not boiling."", ""Pour into jars."", ""Allow to cool before refrigerating.""}"
